cik,date,url
"""0001016470""",2008-08-29,https://www.sec.gov//Archives/edgar/data/1016470/000104746908009760/0001047469-08-009760-index.htm
"""0000745308""",2015-08-24,https://www.sec.gov//Archives/edgar/data/745308/000119312515299386/0001193125-15-299386-index.htm
"""0000745308""",2015-08-24,https://www.sec.gov//Archives/edgar/data/745308/000119312515299386/0001193125-15-299386-index.htm
"""0000745308""",2015-08-24,https://www.sec.gov//Archives/edgar/data/745308/000119312515299386/0001193125-15-299386-index.htm
"""0001017968""",2000-12-21,https://www.sec.gov//Archives/edgar/data/1017968/000092838500003439/0000928385-00-003439-index.htm
"""0000745614""",2002-11-01,https://www.sec.gov//Archives/edgar/data/745614/000095013402013237/0000950134-02-013237-index.htm
"""0000912567""",2001-05-11,https://www.sec.gov//Archives/edgar/data/912567/000092708901500201/0000927089-01-500201-index.htm
"""0001081212""",2001-07-19,https://www.sec.gov//Archives/edgar/data/1081212/000094627501500133/0000946275-01-500133-index.htm
"""0000913241""",2008-02-20,https://www.sec.gov//Archives/edgar/data/913241/000101905608000298/0001019056-08-000298-index.htm
"""0000720672""",2003-09-05,https://www.sec.gov//Archives/edgar/data/720672/000095013403012488/0000950134-03-012488-index.htm
"""0000931948""",2003-07-22,https://www.sec.gov//Archives/edgar/data/931948/000095013303002464/0000950133-03-002464-index.htm
"""0001473597""",2014-01-31,https://www.sec.gov//Archives/edgar/data/1473597/000104746914000485/0001047469-14-000485-index.htm
"""0001473597""",2014-01-31,https://www.sec.gov//Archives/edgar/data/1473597/000104746914000485/0001047469-14-000485-index.htm
"""0001013934""",2001-04-17,https://www.sec.gov//Archives/edgar/data/1013934/000095013301001228/0000950133-01-001228-index.htm
"""0001013934""",2001-04-17,https://www.sec.gov//Archives/edgar/data/1013934/000095013301001228/0000950133-01-001228-index.htm
"""0000820067""",2002-02-07,https://www.sec.gov//Archives/edgar/data/820067/000095014402001039/0000950144-02-001039-index.htm
"""0001042521""",2007-09-25,https://www.sec.gov//Archives/edgar/data/1042521/000111650207001846/0001116502-07-001846-index.htm
"""0000096793""",2017-11-21,https://www.sec.gov//Archives/edgar/data/96793/000119312517349451/0001193125-17-349451-index.htm
"""0000096793""",2017-01-10,https://www.sec.gov//Archives/edgar/data/96793/000119312517006424/0001193125-17-006424-index.htm
"""0001295810""",2008-06-02,https://www.sec.gov//Archives/edgar/data/1295810/000119312508126357/0001193125-08-126357-index.htm
"""0001020999""",2003-06-16,https://www.sec.gov//Archives/edgar/data/1020999/000095013703003409/0000950137-03-003409-index.htm
"""0000350846""",2000-12-21,https://www.sec.gov//Archives/edgar/data/350846/000100547700008658/0001005477-00-008658-index.htm
"""0000747540""",2017-02-03,https://www.sec.gov//Archives/edgar/data/747540/000121390017000934/0001213900-17-000934-index.htm
"""0000924717""",2012-08-06,https://www.sec.gov//Archives/edgar/data/924717/000119312512336337/0001193125-12-336337-index.htm
"""0000768262""",2008-03-10,https://www.sec.gov//Archives/edgar/data/768262/000089161808000161/0000891618-08-000161-index.htm
"""0000824803""",2003-04-23,https://www.sec.gov//Archives/edgar/data/824803/000095013003003329/0000950130-03-003329-index.htm
"""0000824803""",2003-04-23,https://www.sec.gov//Archives/edgar/data/824803/000095013003003329/0000950130-03-003329-index.htm
"""0000912766""",2000-08-10,https://www.sec.gov//Archives/edgar/data/912766/000094018000000959/0000940180-00-000959-index.htm
"""0000912766""",2000-03-21,https://www.sec.gov//Archives/edgar/data/912766/0000950169-00-000222-index.html
"""0000724742""",2006-04-27,https://www.sec.gov//Archives/edgar/data/724742/000093041306003270/0000930413-06-003270-index.htm
"""0000804123""",2012-05-15,https://www.sec.gov//Archives/edgar/data/804123/000119312512232884/0001193125-12-232884-index.htm
"""0000836267""",2004-08-06,https://www.sec.gov//Archives/edgar/data/836267/000095011704002856/0000950117-04-002856-index.htm
"""0000906338""",2013-11-25,https://www.sec.gov//Archives/edgar/data/906338/000119312513452979/0001193125-13-452979-index.htm
"""0000318833""",2001-05-09,https://www.sec.gov//Archives/edgar/data/318833/000095012901500467/0000950129-01-500467-index.htm
"""0001293282""",2016-05-10,https://www.sec.gov//Archives/edgar/data/1293282/000104746916013041/0001047469-16-013041-index.htm
"""0001293282""",2013-09-25,https://www.sec.gov//Archives/edgar/data/1293282/000119312513377167/0001193125-13-377167-index.htm
"""0001293282""",2010-11-09,https://www.sec.gov//Archives/edgar/data/1293282/000104746910009474/0001047469-10-009474-index.htm
"""0000884121""",2011-05-03,https://www.sec.gov//Archives/edgar/data/884121/000104746911004423/0001047469-11-004423-index.htm
"""0000096879""",2000-01-26,https://www.sec.gov//Archives/edgar/data/96879/0000912057-00-002446-index.html
