cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding
1750,4/27/2015,https://www.sec.gov//Archives/edgar/data/1750/000104746915003956/0001047469-15-003956-index.htm,,5/22/2015,30.14,4/24/2015,,29,32,0.1,135000000.00,,39661386.00
2135,2/9/2006,https://www.sec.gov//Archives/edgar/data/2135/000095013406002346/0000950134-06-002346-index.htm,,3/10/2006,56.24,1/25/2006,,56,63,0.25,,55500000.00,118302227.00
2491,4/8/2011,https://www.sec.gov//Archives/edgar/data/2491/000104746911003398/0001047469-11-003398-index.htm,,5/6/2011,37.68,4/7/2011,,34.5,40,0.25,400000000.00,,52916823.00
3370,11/21/2007,https://www.sec.gov//Archives/edgar/data/3370/000119312507252247/0001193125-07-252247-index.htm,,12/19/2007,10.77,11/19/2007,,13,15,0.25,295000000.00,,116021508.00
3545,9/5/2018,https://www.sec.gov//Archives/edgar/data/3545/000138713118004519/0001387131-18-004519-index.htm,,10/3/2018,32.3,8/31/2018,34,,,,,588235.00,8199957.00
5117,9/7/2005,https://www.sec.gov//Archives/edgar/data/5117/000119312505181613/0001193125-05-181613-index.htm,,10/4/2005,2.45,9/6/2005,1.92,,,,,2864584.00,17204134.00
12978,3/30/2005,https://www.sec.gov//Archives/edgar/data/12978/000104746905008319/0001047469-05-008319-index.htm,,4/28/2005,33.21,3/29/2005,,30,34,,,23500000.00,93852590.00
14693,2/4/2003,https://www.sec.gov//Archives/edgar/data/14693/000095012303000878/0000950123-03-000878-index.htm,,3/4/2003,64.9,1/31/2003,,63,73,0.5,,1500000.00,28891260.00
14846,9/22/2010,https://www.sec.gov//Archives/edgar/data/14846/000104746910008229/0001047469-10-008229-index.htm,,10/20/2010,5.16,9/20/2010,6.3,,,,,2500000.00,14080186.00
78749,8/21/2007,https://www.sec.gov//Archives/edgar/data/78749/000095015207007008/0000950152-07-007008-index.htm,,9/19/2007,15.63,8/20/2007,,16.25,18.5,0.25,,6000000.00,31437014.00
78890,3/9/2006,https://www.sec.gov//Archives/edgar/data/78890/000095011706001102/0000950117-06-001102-index.htm,,4/6/2006,47.98,11/15/2005,,47.5,52.5,0.1,,10000000.00,58724211.00
315858,3/20/2018,https://www.sec.gov//Archives/edgar/data/315858/000117494718000422/0001174947-18-000422-index.htm,,4/17/2018,9.18,3/13/2018,9.25,,,,,6486486.00,85709163.00
"""0000885978""",7/3/2000,https://www.sec.gov//Archives/edgar/data/885978/000095013300002792/0000950133-00-002792-index.htm,Incomplete filing,,,,,,,,,,
318154,11/8/2011,https://www.sec.gov//Archives/edgar/data/318154/000119312511300937/0001193125-11-300937-index.htm,,12/7/2011,55.17,11/7/2011,,54,60,0.25,5000000000.00,,876795191.00
350698,3/10/2006,https://www.sec.gov//Archives/edgar/data/350698/000095014406002068/0000950144-06-002068-index.htm,,4/12/2006,20.89,3/6/2006,23,,,,,50000000.00,262705497.00
701288,11/26/2001,https://www.sec.gov//Archives/edgar/data/701288/000095014401509543/0000950144-01-509543-index.htm,,12/21/2001,32.0247,11/20/2001,34.5,,,,,500000.00,2079050.00
"""0000916301""",8/14/2000,https://www.sec.gov//Archives/edgar/data/916301/000095012300007611/0000950123-00-007611-index.htm,NAV,,,,,,,,,,
701288,3/18/2003,https://www.sec.gov//Archives/edgar/data/701288/000095014403003273/0000950144-03-003273-index.htm,,4/14/2003,18,2/26/2003,23,,,,,350000.00,1838571.00
703351,8/29/2006,https://www.sec.gov//Archives/edgar/data/703351/000110465906058001/0001104659-06-058001-index.htm,,9/26/2006,36.82,8/28/2006,,35.25,38.5,0.25,,11688311.00,82716539.00
716459,9/29/2000,https://www.sec.gov//Archives/edgar/data/716459/000100547700006859/0001005477-00-006859-index.htm,,10/31/2000,16.5,9/25/2000,,18,20,0.125,,1668329.00,16683294.00
722104,8/14/2006,https://www.sec.gov//Archives/edgar/data/722104/000112528206004975/0001125282-06-004975-index.htm,,9/12/2006,5.59,8/11/2006,,5.8,6.8,0.1,,10000000.00,61870000.00
723209,11/20/2006,https://www.sec.gov//Archives/edgar/data/723209/000089706906002452/0000897069-06-002452-index.htm,,12/19/2006,15.01,11/15/2006,16.25,,,,,246154.00,674191.00
723209,8/15/2007,https://www.sec.gov//Archives/edgar/data/723209/000089706907001674/0000897069-07-001674-index.htm,,9/13/2007,14.85,8/10/2007,14,,,,,300000.00,414617.00
733269,8/7/2006,https://www.sec.gov//Archives/edgar/data/733269/000119312506163184/0001193125-06-163184-index.htm,,9/12/2006,24.49,8/4/2006,,25,27,0.25,,11111111.00,88033832.00
733269,11/13/2018,https://www.sec.gov//Archives/edgar/data/733269/000119312518324979/0001193125-18-324979-index.htm,,12/12/2018,45.89,11/12/2018,,44.5,49,0.1,500000000.00,,78846830.00
760498,8/3/2007,https://www.sec.gov//Archives/edgar/data/760498/000119312507170590/0001193125-07-170590-index.htm,,9/4/2007,40.59,8/1/2007,,39.5,45,0.25,,500000.00,15724536.00
