cik,date,url
"""0001170833
""""",2008-03-13,https://www.sec.gov//Archives/edgar/data/1170833/000110465908017318/0001104659-08-017318-index.htm
"""0000943897
""""",2001-06-11,https://www.sec.gov//Archives/edgar/data/943897/000093176301500826/0000931763-01-500826-index.htm
"""0000913341
""""",2005-05-13,https://www.sec.gov//Archives/edgar/data/913341/000119312505106824/0001193125-05-106824-index.htm
"""0001400891
""""",2012-10-22,https://www.sec.gov//Archives/edgar/data/1400891/000119312512429729/0001193125-12-429729-index.htm
"""0001400891
""""",2011-02-18,https://www.sec.gov//Archives/edgar/data/1400891/000119312511039724/0001193125-11-039724-index.htm
"""0001015577
""""",2007-03-07,https://www.sec.gov//Archives/edgar/data/1015577/000119312507048480/0001193125-07-048480-index.htm
"""0001015577
""""",2006-09-13,https://www.sec.gov//Archives/edgar/data/1015577/000119312506190176/0001193125-06-190176-index.htm
"""0001015577
""""",2002-06-26,https://www.sec.gov//Archives/edgar/data/1015577/000095013402007683/0000950134-02-007683-index.htm
"""0000310433
""""",2007-03-23,https://www.sec.gov//Archives/edgar/data/310433/000095015707000515/0000950157-07-000515-index.htm
"""0000310433
""""",2005-05-03,https://www.sec.gov//Archives/edgar/data/310433/000119312505092596/0001193125-05-092596-index.htm
"""0001534254
""""",2018-11-16,https://www.sec.gov//Archives/edgar/data/1534254/000153425418000068/0001534254-18-000068-index.htm
"""0001534254
""""",2018-08-17,https://www.sec.gov//Archives/edgar/data/1534254/000153425418000040/0001534254-18-000040-index.htm
"""0001534254
""""",2018-05-18,https://www.sec.gov//Archives/edgar/data/1534254/000153425418000022/0001534254-18-000022-index.htm
"""0001534254
""""",2018-02-16,https://www.sec.gov//Archives/edgar/data/1534254/000131291018000008/0001312910-18-000008-index.htm
"""0001534254
""""",2017-11-17,https://www.sec.gov//Archives/edgar/data/1534254/000144680617000154/0001446806-17-000154-index.htm
"""0001534254
""""",2017-08-18,https://www.sec.gov//Archives/edgar/data/1534254/000144680617000129/0001446806-17-000129-index.htm
"""0001534254
""""",2017-05-19,https://www.sec.gov//Archives/edgar/data/1534254/000144680617000062/0001446806-17-000062-index.htm
"""0001534254
""""",2017-02-17,https://www.sec.gov//Archives/edgar/data/1534254/000144680617000017/0001446806-17-000017-index.htm
"""0001534254
""""",2016-11-18,https://www.sec.gov//Archives/edgar/data/1534254/000153425416000363/0001534254-16-000363-index.htm
"""0001534254
""""",2016-08-19,https://www.sec.gov//Archives/edgar/data/1534254/000153425416000320/0001534254-16-000320-index.htm
"""0001534254
""""",2016-05-13,https://www.sec.gov//Archives/edgar/data/1534254/000153425416000259/0001534254-16-000259-index.htm
"""0001534254
""""",2016-02-12,https://www.sec.gov//Archives/edgar/data/1534254/000153425416000181/0001534254-16-000181-index.htm
"""0001534254
""""",2015-11-13,https://www.sec.gov//Archives/edgar/data/1534254/000153425415000136/0001534254-15-000136-index.htm
"""0001534254
""""",2015-08-17,https://www.sec.gov//Archives/edgar/data/1534254/000153425415000097/0001534254-15-000097-index.htm
"""0001534254
""""",2015-05-11,https://www.sec.gov//Archives/edgar/data/1534254/000153425415000041/0001534254-15-000041-index.htm
"""0001534254
""""",2015-02-10,https://www.sec.gov//Archives/edgar/data/1534254/000094798615000010/0000947986-15-000010-index.htm
"""0001534254
""""",2014-11-10,https://www.sec.gov//Archives/edgar/data/1534254/000094798614000176/0000947986-14-000176-index.htm
"""0001534254
""""",2014-08-11,https://www.sec.gov//Archives/edgar/data/1534254/000094798614000105/0000947986-14-000105-index.htm
"""0001534254
""""",2014-05-09,https://www.sec.gov//Archives/edgar/data/1534254/000094798614000056/0000947986-14-000056-index.htm
"""0001534254
""""",2014-02-10,https://www.sec.gov//Archives/edgar/data/1534254/000094798614000014/0000947986-14-000014-index.htm
"""0000808064
""""",2010-10-21,https://www.sec.gov//Archives/edgar/data/808064/000119312510233068/0001193125-10-233068-index.htm
"""0000356028
""""",2006-11-07,https://www.sec.gov//Archives/edgar/data/356028/000110465906072296/0001104659-06-072296-index.htm
"""0000356028
""""",2006-08-16,https://www.sec.gov//Archives/edgar/data/356028/000104746906011030/0001047469-06-011030-index.htm
"""0000913142
""""",2007-03-05,https://www.sec.gov//Archives/edgar/data/913142/000095012307003202/0000950123-07-003202-index.htm
"""0001053112
""""",2003-01-23,https://www.sec.gov//Archives/edgar/data/1053112/000089183603000039/0000891836-03-000039-index.htm
"""0001053112
""""",2003-01-23,https://www.sec.gov//Archives/edgar/data/1053112/000089183603000039/0000891836-03-000039-index.htm
"""0001095600
""""",2007-05-01,https://www.sec.gov//Archives/edgar/data/1095600/000119312507096824/0001193125-07-096824-index.htm
"""0001024022
""""",2003-11-04,https://www.sec.gov//Archives/edgar/data/1024022/000107018803000018/0001070188-03-000018-index.htm
"""0000813672
""""",2008-07-16,https://www.sec.gov//Archives/edgar/data/813672/000089161808000352/0000891618-08-000352-index.htm
"""0001373925
""""",2012-09-25,https://www.sec.gov//Archives/edgar/data/1373925/000094787112000650/0000947871-12-000650-index.htm
"""0001373925
""""",2012-06-25,https://www.sec.gov//Archives/edgar/data/1373925/000094787112000506/0000947871-12-000506-index.htm
"""0001373925
""""",2012-03-29,https://www.sec.gov//Archives/edgar/data/1373925/000094787112000339/0000947871-12-000339-index.htm
"""0001373925
""""",2011-12-22,https://www.sec.gov//Archives/edgar/data/1373925/000089418911005741/0000894189-11-005741-index.htm
"""0001373925
""""",2011-09-26,https://www.sec.gov//Archives/edgar/data/1373925/000089418911004359/0000894189-11-004359-index.htm
"""0001373925
""""",2011-06-24,https://www.sec.gov//Archives/edgar/data/1373925/000089418911002743/0000894189-11-002743-index.htm
"""0001373925
""""",2011-03-28,https://www.sec.gov//Archives/edgar/data/1373925/000089418911001301/0000894189-11-001301-index.htm
"""0001373925
""""",2010-12-27,https://www.sec.gov//Archives/edgar/data/1373925/000089418910004660/0000894189-10-004660-index.htm
"""0001373925
""""",2010-09-24,https://www.sec.gov//Archives/edgar/data/1373925/000094787110000947/0000947871-10-000947-index.htm
"""0001373925
""""",2010-06-23,https://www.sec.gov//Archives/edgar/data/1373925/000094787110000727/0000947871-10-000727-index.htm
"""0001373925
""""",2010-03-26,https://www.sec.gov//Archives/edgar/data/1373925/000094787110000389/0000947871-10-000389-index.htm
"""0001373925
""""",2009-12-23,https://www.sec.gov//Archives/edgar/data/1373925/000094787109000814/0000947871-09-000814-index.htm
"""0001373925
""""",2009-09-24,https://www.sec.gov//Archives/edgar/data/1373925/000094787109000593/0000947871-09-000593-index.htm
"""0001373925
""""",2009-06-26,https://www.sec.gov//Archives/edgar/data/1373925/000094787109000466/0000947871-09-000466-index.htm
"""0001373925
""""",2009-03-27,https://www.sec.gov//Archives/edgar/data/1373925/000094787109000273/0000947871-09-000273-index.htm
"""0001373925
""""",2008-12-23,https://www.sec.gov//Archives/edgar/data/1373925/000094787108000654/0000947871-08-000654-index.htm
"""0001373925
""""",2008-09-26,https://www.sec.gov//Archives/edgar/data/1373925/000094787108000513/0000947871-08-000513-index.htm
"""0001373925
""""",2008-06-27,https://www.sec.gov//Archives/edgar/data/1373925/000094787108000384/0000947871-08-000384-index.htm
"""0001373925
""""",2012-09-25,https://www.sec.gov//Archives/edgar/data/1373925/000094787112000650/0000947871-12-000650-index.htm
"""0001373925
""""",2012-06-25,https://www.sec.gov//Archives/edgar/data/1373925/000094787112000506/0000947871-12-000506-index.htm
"""0001373925
""""",2012-03-29,https://www.sec.gov//Archives/edgar/data/1373925/000094787112000339/0000947871-12-000339-index.htm
"""0001373925
""""",2011-12-22,https://www.sec.gov//Archives/edgar/data/1373925/000089418911005741/0000894189-11-005741-index.htm
"""0001373925
""""",2011-09-26,https://www.sec.gov//Archives/edgar/data/1373925/000089418911004359/0000894189-11-004359-index.htm
"""0001373925
""""",2011-06-24,https://www.sec.gov//Archives/edgar/data/1373925/000089418911002743/0000894189-11-002743-index.htm
"""0001373925
""""",2011-03-28,https://www.sec.gov//Archives/edgar/data/1373925/000089418911001301/0000894189-11-001301-index.htm
"""0001373925
""""",2010-12-27,https://www.sec.gov//Archives/edgar/data/1373925/000089418910004660/0000894189-10-004660-index.htm
"""0001373925
""""",2010-09-24,https://www.sec.gov//Archives/edgar/data/1373925/000094787110000947/0000947871-10-000947-index.htm
"""0001373925
""""",2010-06-23,https://www.sec.gov//Archives/edgar/data/1373925/000094787110000727/0000947871-10-000727-index.htm
"""0001373925
""""",2010-03-26,https://www.sec.gov//Archives/edgar/data/1373925/000094787110000389/0000947871-10-000389-index.htm
"""0001373925
""""",2009-12-23,https://www.sec.gov//Archives/edgar/data/1373925/000094787109000814/0000947871-09-000814-index.htm
"""0001373925
""""",2009-09-24,https://www.sec.gov//Archives/edgar/data/1373925/000094787109000593/0000947871-09-000593-index.htm
"""0001373925
""""",2009-06-26,https://www.sec.gov//Archives/edgar/data/1373925/000094787109000466/0000947871-09-000466-index.htm
"""0001373925
""""",2009-03-27,https://www.sec.gov//Archives/edgar/data/1373925/000094787109000273/0000947871-09-000273-index.htm
"""0001373925
""""",2008-12-23,https://www.sec.gov//Archives/edgar/data/1373925/000094787108000654/0000947871-08-000654-index.htm
