cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding,tender type
"""0001170833""",3/13/2008,https://www.sec.gov//Archives/edgar/data/1170833/000110465908017318/0001104659-08-017318-index.htm,,4/28/2008,9.6,3/12/2008,13,,,,,"1,000,000","7,662,715",Tender Offer
"""0000913341""",5/13/2005,https://www.sec.gov//Archives/edgar/data/913341/000119312505106824/0001193125-05-106824-index.htm,Incomplete filing,,,,,,,,,,,
"""0000356028""",8/16/2006,https://www.sec.gov//Archives/edgar/data/356028/000104746906011030/0001047469-06-011030-index.htm,Incomplete filing,,,,,,,,,,,
"""0000913142""",3/5/2007,https://www.sec.gov//Archives/edgar/data/913142/000095012307003202/0000950123-07-003202-index.htm,Convertible,,,,,,,,,,,
"""0000948976""",11/27/2002,https://www.sec.gov//Archives/edgar/data/948976/000100127702000558/0001001277-02-000558-index.htm,,12/30/2002,20.07,11/19/2002,,22,25,0.5,,"200,000","2,227,756",Modified Dutch Auction
"""0000750686""",3/24/2006,https://www.sec.gov//Archives/edgar/data/750686/000119312506062562/0001193125-06-062562-index.htm,,4/21/2006,34.74,3/23/2006,,36.5,40.25,0.25,,"752,000","7,519,629",Modified Dutch Auction
"""0001129162""",2/5/2003,https://www.sec.gov//Archives/edgar/data/1129162/000104746903004127/0001047469-03-004127-index.htm,Incomplete filing,,,,,,,,,,,
"""0000944696""",12/21/2000,https://www.sec.gov//Archives/edgar/data/944696/000094469600500020/0000944696-00-500020-index.htm,,1/22/2001,0.56,12/15/2000,1.25,,,,,"750,000","7,444,687",Tender Offer
"""0001074433""",8/15/2001,https://www.sec.gov//Archives/edgar/data/1074433/000092708901500333/0000927089-01-500333-index.htm,,9/18/2001,18.33,8/9/2001,,17.5,20,0.5,,"8,000,000","80,404,182",Modified Dutch Auction
"""0000766701""",2/16/2001,https://www.sec.gov//Archives/edgar/data/766701/000095013401001550/0000950134-01-001550-index.htm,,3/16/2001,12.76,2/15/2001,12.75,,,,,"5,000,000","25,282,472",Tender Offer
"""0001036141""",9/1/2009,https://www.sec.gov//Archives/edgar/data/1036141/000095012309040153/0000950123-09-040153-index.htm,,10/6/2009,4.24,8/25/2009,,4.25,5.1,,"27,500,000",,"64,361,746",Single per Share Purchase Price
"""0000726958""",7/29/2010,https://www.sec.gov//Archives/edgar/data/726958/000119312510170510/0001193125-10-170510-index.htm,,8/25/2010,36.5,7/27/2010,,38,40,0.25,"500,000,000",,"50,968,662",Modified Dutch Auction
"""0000813298""",11/15/2000,https://www.sec.gov//Archives/edgar/data/813298/000092242300500050/0000922423-00-500050-index.htm,,12/14/2000,2.375,11/2/2000,,2.2,3,0.1,,"1,500,000","15,781,972",Modified Dutch Auction
"""0001297587""",5/21/2013,https://www.sec.gov//Archives/edgar/data/1297587/000119312513228677/0001193125-13-228677-index.htm,No Historic / REIT,,,,,,,,,,,
"""0000944148""",3/4/2004,https://www.sec.gov//Archives/edgar/data/944148/000095015204001595/0000950152-04-001595-index.htm,,4/1/2004,4.5,3/2/2004,5,,,,,"7,500,000","85,723,711",Tender Offer
"""0000944148""",6/10/2003,https://www.sec.gov//Archives/edgar/data/944148/000095015203006019/0000950152-03-006019-index.htm,,7/9/2003,3.01,6/9/2003,,3,3.3,,,"14,000,000","95,999,137",Single per Share Purchase Price
"""0001067294""",12/13/2006,https://www.sec.gov//Archives/edgar/data/1067294/000095014406011492/0000950144-06-011492-index.htm,,1/11/2007,42.97,12/6/2006,,42,46,0.25,,"5,430,000","31,346,145",Modified Dutch Auction
"""0001067294""",3/31/2006,https://www.sec.gov//Archives/edgar/data/1067294/000095014406002962/0000950144-06-002962-index.htm,,4/27/2006,44.3,3/16/2006,,42,46,0.25,,"16,750,000","47,592,415",Modified Dutch Auction
"""0001017917""",7/27/2004,https://www.sec.gov//Archives/edgar/data/1017917/000119312504125430/0001193125-04-125430-index.htm,,8/24/2004,14.9,7/21/2004,18.75,,,,,"11,200,000","26,735,699",Tender Offer
"""0000021828""",7/9/2009,https://www.sec.gov//Archives/edgar/data/21828/000114036109016178/0001140361-09-016178-index.htm,Incomplete filing,,,,,,,,,,,
"""0001306830""",3/6/2007,https://www.sec.gov//Archives/edgar/data/1306830/000095012307003269/0000950123-07-003269-index.htm,,4/3/2007,28.33,3/2/2007,,28,30.5,0.25,,"11,279,243","159,643,063",Modified Dutch Auction
"""0001030894""",4/27/2015,https://www.sec.gov//Archives/edgar/data/1030894/000104746915003939/0001047469-15-003939-index.htm,,6/1/2015,12.2,4/24/2015,,11.7,13.3,0.1,"350,000,000",,"150,238,432",Modified Dutch Auction
"""0001030894""",10/29/2012,https://www.sec.gov//Archives/edgar/data/1030894/000104746912009837/0001047469-12-009837-index.htm,,12/3/2012,7.13,10/22/2012,,7,8,0.1,"175,000,000",,"186,205,220",Modified Dutch Auction
"""0000701347""",2/21/2014,https://www.sec.gov//Archives/edgar/data/701347/000104746914001124/0001047469-14-001124-index.htm,,3/21/2014,18.58,2/20/2014,,18.5,21,0.1,"68,800,000",,"42,108,496",Modified Dutch Auction
"""0000949298""",8/12/2005,https://www.sec.gov//Archives/edgar/data/949298/000095014405008709/0000950144-05-008709-index.htm,,9/14/2005,14.6,8/10/2005,,14.5,16.75,0.25,,"4,400,000","36,704,403",Modified Dutch Auction
"""0000018808""",2/13/2006,https://www.sec.gov//Archives/edgar/data/18808/000119312506028543/0001193125-06-028543-index.htm,,5/15/2006,18.62,2/6/2006,,20.5,22.5,0.25,,"2,250,000","12,297,415",Single per Share Purchase Price
"""0000944148""",3/4/2004,https://www.sec.gov//Archives/edgar/data/944148/000095015204001595/0000950152-04-001595-index.htm,,4/1/2004,4.5,3/3/2004,5,,,,,"7,500,000","85,723,711",Tender Offer
