cik,date,url,error,exp date,trading px,px date,tender px,low,high,increment,price cap,share cap,shares outstanding
"""0001325483""",9/22/2010,https://www.sec.gov//Archives/edgar/data/1325483/000095012310088020/0000950123-10-088020-index.htm,NAV,,,,,,,,,,
"""0001009575""",10/27/2008,https://www.sec.gov//Archives/edgar/data/1009575/000095014408007815/0000950144-08-007815-index.htm,,11/25/2008,7.79,10/21/2008,8.8,,,,,"80,000,000","184,642,649"
"""0001009575""",10/20/2006,https://www.sec.gov//Archives/edgar/data/1009575/000095014406009665/0000950144-06-009665-index.htm,,12/4/2006,11.64,9/25/2006,12.25,,,,,"100,000,000","280,951,829"
"""0001009575""",11/23/2005,https://www.sec.gov//Archives/edgar/data/1009575/000095012305014068/0000950123-05-014068-index.htm,,12/21/2005,8.37,11/17/2005,8.2,,,,,"60,000,000","344,958,473"
"""0000354950""",7/10/2007,https://www.sec.gov//Archives/edgar/data/354950/000095014407006473/0000950144-07-006473-index.htm,,8/16/2007,40.23,7/9/2007,,39,44,0.25,,"250,000,000","1,975,115,495"
"""0000109177""",11/20/2002,https://www.sec.gov//Archives/edgar/data/109177/000095012302011173/0000950123-02-011173-index.htm,,12/18/2002,23.2,11/12/2002,28,,,,,"500,000","2,390,849"
"""0000925528""",6/29/2007,https://www.sec.gov//Archives/edgar/data/925528/000114420407034475/0001144204-07-034475-index.htm,,8/15/2007,1.12,6/28/2007,1.12,,,,,"1,167,400","25,915,464"
"""0000756502""",3/13/2003,https://www.sec.gov//Archives/edgar/data/756502/000095017203000812/0000950172-03-000812-index.htm,Too illiquid,,,,,,,,,,
"""0001085621""",11/7/2016,https://www.sec.gov//Archives/edgar/data/1085621/000119312516761333/0001193125-16-761333-index.htm,,12/7/2016,11.6,11/2/2016,,12,14,0.25,"$80,000,000 ",,"39,477,526"
"""0000875045""",5/30/2007,https://www.sec.gov//Archives/edgar/data/875045/000095013507003417/0000950135-07-003417-index.htm,,6/26/2007,49.21,5/29/2007,,47,53,0.25,," 56,603,773","343,161,482"
"""0000875045""",5/30/2007,https://www.sec.gov//Archives/edgar/data/875045/000095013507003417/0000950135-07-003417-index.htm,Duplicate,,,,1.1,,,,,"2,790,013",
"""0001463833""",11/17/2009,https://www.sec.gov//Archives/edgar/data/1463833/000121390009003292/0001213900-09-003292-index.htm,Too illiquid,,,,,,,,,,
"""0000003370""",11/21/2007,https://www.sec.gov//Archives/edgar/data/3370/000119312507252247/0001193125-07-252247-index.htm,,12/19/2007,10.77,11/19/2007,,13,15,0.25,"$295,000,000 ",,"116,021,508"
"""0001075736""",11/3/2010,https://www.sec.gov//Archives/edgar/data/1075736/000135448810003328/0001354488-10-003328-index.htm,,12/2/2010,3.36,7/27/2010,,4.35,4.75,0.1,"$4,750,000 ",,"11,402,341"
"""0001036615""",4/24/2000,https://www.sec.gov//Archives/edgar/data/1036615/0000950123-00-003954-index.html,,5/19/2000,4.81,4/20/2000,5.72,,,,,"2,020,367","8,418,200"
