,mult_low,mult_avg,mult_high
2000,510713.105,665102.23,836960.105
2001,473697.9750000001,282938.9,430651.09705
2002,1257321.5100000002,1721404.7600000002,2012642.1
2003,1265470.4875000003,1364363.92625,1252007.3650000002
2004,1189080.8499999996,1826222.7259999998,2320737.226
2005,1089495.8720000004,2218702.0720000016,6088174.352
2006,1618496.6519999998,1679514.5269999998,5158849.464
2007,3169934.75,4225984.07,7379531.786000006
2008,2233910.091500001,828818.110249998,1198591.3790000007
2009,970365.7654999997,625720.7854999993,1534930.8055000007
2010,4005058.0644999985,6573601.3019999955,14149085.254500002
2011,2637389.9727500007,2699889.9727500007,5559336.278499998
2012,2538963.8729999997,2803105.7135000005,3073747.5539999977
2013,2013308.6125000007,4076467.6180000007,12580605.00599999
2014,1866168.1974999942,4323336.13649999,6792195.700500011
2015,2054798.0089999996,3091046.383999996,9537937.993499994
2016,1218508.8775000013,2513184.300499998,4003441.2119999975
2017,2430703.0539999977,3149031.8500000015,7188593.631999999
2018,504867.6724999994,1233839.322999999,2699067.648000002
