Low Base,,,Average Base,,,High Base,
date,value,,date,value,,date,value
1/1/2000,100000,,1/1/2000,100000,,1/1/2000,100000
1/26/2000,100000,,1/26/2000,100000,,1/26/2000,100000
2/4/2000,100000,,2/4/2000,100000,,2/4/2000,100000
2/24/2000,100000,,2/24/2000,100000,,2/24/2000,100000
2/28/2000,100000,,2/28/2000,100000,,2/28/2000,100000
2/29/2000,100000,,2/29/2000,100000,,2/29/2000,100000
3/1/2000,100000,,3/1/2000,100000,,3/1/2000,100000
3/2/2000,100000,,3/2/2000,100000,,3/2/2000,100000
3/9/2000,100000,,3/9/2000,100000,,3/9/2000,100000
3/21/2000,100000,,3/21/2000,100000,,3/21/2000,100000
3/30/2000,100000,,3/30/2000,100000,,3/30/2000,100000
4/2/2000,100000,,4/2/2000,100000,,4/2/2000,100000
4/4/2000,100000,,4/4/2000,100000,,4/4/2000,100000
4/17/2000,100000,,4/17/2000,100000,,4/17/2000,100000
4/23/2000,100000,,4/23/2000,100000,,4/23/2000,100000
4/24/2000,100000,,4/24/2000,100000,,4/24/2000,100000
4/25/2000,150000,,4/25/2000,150000,,4/25/2000,150000
5/1/2000,150000,,5/1/2000,150000,,5/1/2000,150000
5/21/2000,150000,,5/21/2000,150000,,5/21/2000,150000
5/25/2000,154729.27,,5/25/2000,154729.27,,5/25/2000,154729.27
6/5/2000,154729.27,,6/5/2000,154729.27,,6/5/2000,154729.27
6/6/2000,154729.27,,6/6/2000,154729.27,,6/6/2000,154729.27
7/11/2000,184201.27,,7/11/2000,184201.27,,7/11/2000,184201.27
7/31/2000,184201.27,,7/31/2000,184201.27,,7/31/2000,184201.27
8/1/2000,184201.27,,8/1/2000,184201.27,,8/1/2000,184201.27
8/10/2000,184201.27,,8/10/2000,184201.27,,8/10/2000,184201.27
8/18/2000,184201.27,,8/18/2000,184201.27,,8/18/2000,184201.27
8/21/2000,184201.27,,8/21/2000,184201.27,,8/21/2000,184201.27
9/3/2000,184201.27,,9/3/2000,184201.27,,9/3/2000,184201.27
9/5/2000,248920.145,,9/5/2000,248920.145,,9/5/2000,248920.145
