date,value,year,change
2000-01-01,100000.0,2000,0.0
2000-01-26,100000.0,2000,0.0
2000-02-04,100000.0,2000,0.0
2000-02-24,100000.0,2000,0.0
2000-02-28,100000.0,2000,0.0
2000-02-29,100000.0,2000,0.0
2000-03-01,100000.0,2000,0.0
2000-03-02,100000.0,2000,0.0
2000-03-09,100000.0,2000,0.0
2000-03-21,100000.0,2000,0.0
2000-03-30,100000.0,2000,0.0
2000-04-02,100000.0,2000,0.0
2000-04-04,100000.0,2000,0.0
2000-04-17,100000.0,2000,0.0
2000-04-23,100000.0,2000,0.0
2000-04-24,100000.0,2000,50000.0
2000-04-25,150000.0,2000,0.0
2000-05-01,150000.0,2000,0.0
2000-05-21,150000.0,2000,4729.2699999999895
2000-05-25,154729.27,2000,0.0
2000-06-05,154729.27,2000,0.0
2000-06-06,154729.27,2000,29472.0
2000-07-11,184201.27,2000,0.0
2000-07-31,184201.27,2000,0.0
2000-08-01,184201.27,2000,0.0
2000-08-10,184201.27,2000,0.0
2000-08-18,184201.27,2000,0.0
2000-08-21,184201.27,2000,0.0
2000-09-03,184201.27,2000,64718.875
2000-09-05,248920.145,2000,0.0
2000-09-08,248920.145,2000,0.0
2000-09-13,248920.145,2000,0.0
2000-09-21,248920.145,2000,0.0
2000-09-24,248920.145,2000,0.0
2000-09-26,248920.145,2000,0.0
2000-09-29,248920.145,2000,161000.96
2000-10-11,409921.105,2000,0.0
2000-10-23,409921.105,2000,0.0
2000-10-27,409921.105,2000,0.0
2000-10-30,409921.105,2000,0.0
2000-10-31,409921.105,2000,0.0
2000-11-01,409921.105,2000,0.0
2000-11-06,409921.105,2000,0.0
2000-11-09,409921.105,2000,0.0
2000-11-15,409921.105,2000,0.0
2000-11-28,409921.105,2000,0.0
2000-12-07,409921.105,2000,337181.125
2000-12-11,747102.23,2000,0.0
2000-12-15,747102.23,2000,0.0
2000-12-20,747102.23,2000,18000.0
2000-12-21,765102.23,2000,0.0
2001-01-16,765102.23,2001,0.0
2001-01-23,765102.23,2001,25875.0
2001-01-28,790977.23,2001,0.0
2001-01-29,790977.23,2001,0.0
2001-02-06,790977.23,2001,0.0
2001-02-16,790977.23,2001,0.0
2001-02-21,790977.23,2001,0.0
2001-02-26,790977.23,2001,0.0
2001-03-08,790977.23,2001,0.0
2001-03-19,790977.23,2001,0.0
2001-03-22,790977.23,2001,75000.0
2001-03-29,865977.23,2001,0.0
2001-04-03,865977.23,2001,0.0
2001-04-12,865977.23,2001,0.0
2001-04-13,865977.23,2001,0.0
2001-04-16,865977.23,2001,0.0
2001-04-17,865977.23,2001,0.0
2001-04-23,865977.23,2001,0.0
2001-05-09,865977.23,2001,0.0
2001-05-10,865977.23,2001,0.0
2001-05-11,865977.23,2001,0.0
2001-05-16,865977.23,2001,0.0
2001-05-21,865977.23,2001,0.0
2001-06-01,865977.23,2001,0.0
