date,value,year,change
2000-01-01,100000.0,2000,0.0
2000-01-26,100000.0,2000,0.0
2000-02-04,100000.0,2000,0.0
2000-02-24,100000.0,2000,0.0
2000-02-28,100000.0,2000,0.0
2000-02-29,100000.0,2000,0.0
2000-03-01,100000.0,2000,0.0
2000-03-02,100000.0,2000,0.0
2000-03-09,100000.0,2000,0.0
2000-03-21,100000.0,2000,0.0
2000-03-30,100000.0,2000,0.0
2000-04-02,100000.0,2000,0.0
2000-04-04,100000.0,2000,0.0
2000-04-17,100000.0,2000,0.0
2000-04-23,100000.0,2000,0.0
2000-04-24,100000.0,2000,50000.0
2000-04-25,150000.0,2000,0.0
2000-05-01,150000.0,2000,0.0
2000-05-21,150000.0,2000,4729.2699999999895
2000-05-25,154729.27,2000,0.0
2000-06-05,154729.27,2000,0.0
2000-06-06,154729.27,2000,29472.0
2000-07-11,184201.27,2000,0.0
2000-07-31,184201.27,2000,0.0
2000-08-01,184201.27,2000,0.0
2000-08-10,184201.27,2000,0.0
2000-08-18,184201.27,2000,0.0
2000-08-21,184201.27,2000,0.0
2000-09-03,184201.27,2000,64718.875
2000-09-05,248920.145,2000,0.0
2000-09-08,248920.145,2000,0.0
2000-09-13,248920.145,2000,0.0
2000-09-21,248920.145,2000,0.0
2000-09-24,248920.145,2000,0.0
2000-09-26,248920.145,2000,0.0
2000-09-29,248920.145,2000,219560.96
2000-10-11,468481.105,2000,0.0
2000-10-23,468481.105,2000,0.0
2000-10-27,468481.105,2000,0.0
2000-10-30,468481.105,2000,0.0
2000-10-31,468481.105,2000,0.0
2000-11-01,468481.105,2000,0.0
2000-11-06,468481.105,2000,0.0
2000-11-09,468481.105,2000,0.0
2000-11-15,468481.105,2000,0.0
2000-11-28,468481.105,2000,0.0
2000-12-07,468481.105,2000,468479.0
2000-12-11,936960.105,2000,0.0
2000-12-15,936960.105,2000,0.0
2000-12-20,936960.105,2000,0.0
2000-12-21,936960.105,2000,0.0
2001-01-16,936960.105,2001,0.0
2001-01-23,936960.105,2001,25875.0
2001-01-28,962835.105,2001,0.0
2001-01-29,962835.105,2001,0.0
2001-02-06,962835.105,2001,0.0
2001-02-16,962835.105,2001,0.0
2001-02-21,962835.105,2001,0.0
2001-02-26,962835.105,2001,0.0
2001-03-08,962835.105,2001,0.0
2001-03-19,962835.105,2001,0.0
2001-03-22,962835.105,2001,87500.0
2001-03-29,1050335.105,2001,0.0
2001-04-03,1050335.105,2001,0.0
2001-04-12,1050335.105,2001,0.0
2001-04-13,1050335.105,2001,0.0
2001-04-16,1050335.105,2001,0.0
2001-04-17,1050335.105,2001,0.0
2001-04-23,1050335.105,2001,0.0
2001-05-09,1050335.105,2001,112833.32205000008
2001-05-10,1163168.42705,2001,0.0
2001-05-11,1163168.42705,2001,0.0
2001-05-16,1163168.42705,2001,0.0
2001-05-21,1163168.42705,2001,0.0
