date,value,year,change
2000-01-01,100000.0,2000,0.0
2000-01-26,100000.0,2000,0.0
2000-02-04,100000.0,2000,0.0
2000-02-24,100000.0,2000,0.0
2000-02-28,100000.0,2000,0.0
2000-02-29,100000.0,2000,0.0
2000-03-01,100000.0,2000,0.0
2000-03-02,100000.0,2000,0.0
2000-03-09,100000.0,2000,0.0
2000-03-21,100000.0,2000,0.0
2000-03-30,100000.0,2000,0.0
2000-04-02,100000.0,2000,0.0
2000-04-04,100000.0,2000,0.0
2000-04-17,100000.0,2000,0.0
2000-04-23,100000.0,2000,0.0
2000-04-24,100000.0,2000,50000.0
2000-04-25,150000.0,2000,0.0
2000-05-01,150000.0,2000,0.0
2000-05-21,150000.0,2000,4729.2699999999895
2000-05-25,154729.27,2000,0.0
2000-06-05,154729.27,2000,0.0
2000-06-06,154729.27,2000,29472.0
2000-07-11,184201.27,2000,0.0
2000-07-31,184201.27,2000,0.0
2000-08-01,184201.27,2000,0.0
2000-08-10,184201.27,2000,0.0
2000-08-18,184201.27,2000,0.0
2000-08-21,184201.27,2000,0.0
2000-09-03,184201.27,2000,64718.875
2000-09-05,248920.145,2000,0.0
2000-09-08,248920.145,2000,0.0
2000-09-13,248920.145,2000,0.0
2000-09-21,248920.145,2000,0.0
2000-09-24,248920.145,2000,0.0
2000-09-26,248920.145,2000,0.0
2000-09-29,248920.145,2000,102440.95999999999
2000-10-11,351361.105,2000,0.0
2000-10-23,351361.105,2000,0.0
2000-10-27,351361.105,2000,0.0
2000-10-30,351361.105,2000,0.0
2000-10-31,351361.105,2000,0.0
2000-11-01,351361.105,2000,0.0
2000-11-06,351361.105,2000,0.0
2000-11-09,351361.105,2000,0.0
2000-11-15,351361.105,2000,0.0
2000-11-28,351361.105,2000,0.0
2000-12-07,351361.105,2000,241352.0
2000-12-11,592713.105,2000,0.0
2000-12-15,592713.105,2000,0.0
2000-12-20,592713.105,2000,18000.0
2000-12-21,610713.105,2000,0.0
2001-01-16,610713.105,2001,0.0
2001-01-23,610713.105,2001,25875.0
2001-01-28,636588.105,2001,0.0
2001-01-29,636588.105,2001,0.0
2001-02-06,636588.105,2001,0.0
2001-02-16,636588.105,2001,0.0
2001-02-21,636588.105,2001,0.0
2001-02-26,636588.105,2001,0.0
2001-03-08,636588.105,2001,0.0
2001-03-19,636588.105,2001,0.0
2001-03-22,636588.105,2001,62500.0
2001-03-29,699088.105,2001,0.0
2001-04-03,699088.105,2001,0.0
2001-04-12,699088.105,2001,0.0
2001-04-13,699088.105,2001,0.0
2001-04-16,699088.105,2001,0.0
2001-04-17,699088.105,2001,0.0
2001-04-23,699088.105,2001,0.0
2001-05-09,699088.105,2001,0.0
2001-05-10,699088.105,2001,0.0
2001-05-11,699088.105,2001,0.0
2001-05-16,699088.105,2001,0.0
2001-05-21,699088.105,2001,0.0
2001-06-01,699088.105,2001,36600.0
