date,value,year,change
2000-01-01,100000.0,2000,0.0
2000-01-26,100000.0,2000,0.0
2000-02-04,100000.0,2000,0.0
2000-02-24,100000.0,2000,0.0
2000-02-28,100000.0,2000,0.0
2000-02-29,100000.0,2000,0.0
2000-03-01,100000.0,2000,0.0
2000-03-02,100000.0,2000,0.0
2000-03-09,100000.0,2000,0.0
2000-03-21,100000.0,2000,0.0
2000-03-30,100000.0,2000,0.0
2000-04-02,100000.0,2000,0.0
2000-04-04,100000.0,2000,0.0
2000-04-17,100000.0,2000,0.0
2000-04-23,100000.0,2000,0.0
2000-04-24,100000.0,2000,66665.0
2000-04-25,166665.0,2000,0.0
2000-05-01,166665.0,2000,0.0
2000-05-21,166665.0,2000,0.0
2000-05-25,166665.0,2000,0.0
2000-06-05,166665.0,2000,0.0
2000-06-06,166665.0,2000,31744.0
2000-07-11,198409.0,2000,0.0
2000-07-31,198409.0,2000,0.0
2000-08-01,198409.0,2000,0.0
2000-08-10,198409.0,2000,0.0
2000-08-18,198409.0,2000,0.0
2000-08-21,198409.0,2000,0.0
2000-09-03,198409.0,2000,69710.875
2000-09-05,268119.875,2000,0.0
2000-09-08,268119.875,2000,0.0
2000-09-13,268119.875,2000,0.0
2000-09-21,268119.875,2000,0.0
2000-09-24,268119.875,2000,0.0
2000-09-26,268119.875,2000,0.0
2000-09-29,268119.875,2000,173418.32400000002
2000-10-11,441538.199,2000,0.0
2000-10-23,441538.199,2000,0.0
2000-10-27,441538.199,2000,0.0
2000-10-30,441538.199,2000,0.0
2000-10-31,441538.199,2000,0.0
2000-11-01,441538.199,2000,0.0
2000-11-06,441538.199,2000,0.0
2000-11-09,441538.199,2000,0.0
2000-11-15,441538.199,2000,0.0
2000-11-28,441538.199,2000,0.0
2000-12-07,441538.199,2000,297122.0
2000-12-11,738660.199,2000,0.0
2000-12-15,738660.199,2000,0.0
2000-12-20,738660.199,2000,90000.0
2000-12-21,828660.199,2000,0.0
2001-01-16,828660.199,2001,0.0
2001-01-23,828660.199,2001,129375.0
2001-01-28,958035.199,2001,0.0
2001-01-29,958035.199,2001,0.0
2001-02-06,958035.199,2001,0.0
2001-02-16,958035.199,2001,0.0
2001-02-21,958035.199,2001,0.0
2001-02-26,958035.199,2001,0.0
2001-03-08,958035.199,2001,0.0
2001-03-19,958035.199,2001,0.0
2001-03-22,958035.199,2001,375000.0
2001-03-29,1333035.199,2001,0.0
2001-04-03,1333035.199,2001,0.0
2001-04-12,1333035.199,2001,0.0
2001-04-13,1333035.199,2001,0.0
2001-04-16,1333035.199,2001,0.0
2001-04-17,1333035.199,2001,0.0
2001-04-23,1333035.199,2001,0.0
2001-05-09,1333035.199,2001,0.0
2001-05-10,1333035.199,2001,0.0
2001-05-11,1333035.199,2001,0.0
2001-05-16,1333035.199,2001,0.0
2001-05-21,1333035.199,2001,0.0
2001-06-01,1333035.199,2001,0.0
