date,value,year,change
2000-01-01,10000.0,2000,0.0
2000-01-26,10000.0,2000,0.0
2000-02-04,10000.0,2000,0.0
2000-02-24,10000.0,2000,0.0
2000-02-28,10000.0,2000,104.94000000000051
2000-02-29,10104.94,2000,0.0
2000-03-01,10104.94,2000,148.5
2000-03-02,10253.44,2000,247.5
2000-03-09,10500.94,2000,0.0
2000-03-21,10500.94,2000,222.75
2000-03-30,10723.69,2000,185.625
2000-04-02,10909.315,2000,209.8799999999992
2000-04-04,11119.195,2000,0.0
2000-04-17,11119.195,2000,148.5
2000-04-23,11267.695,2000,0.0
2000-04-24,11267.695,2000,247.5
2000-04-25,11515.195,2000,0.0
2000-05-01,11515.195,2000,123.75
2000-05-21,11638.945,2000,90.09000000000015
2000-05-25,11729.035,2000,0.0
2000-06-05,11729.035,2000,92.8125
2000-06-06,11821.8475,2000,198.0
2000-07-11,12019.8475,2000,0.0
2000-07-31,12019.8475,2000,0.0
2000-08-01,12019.8475,2000,0.0
2000-08-10,12019.8475,2000,0.0
2000-08-18,12019.8475,2000,0.0
2000-08-21,12019.8475,2000,80.4375
2000-09-03,12100.285,2000,160.875
2000-09-05,12261.16,2000,0.0
2000-09-08,12261.16,2000,61.875
2000-09-13,12323.035,2000,99.98999999999978
2000-09-21,12423.025,2000,792.0
2000-09-24,13215.025,2000,0.0
2000-09-26,13215.025,2000,0.0
2000-09-29,13215.025,2000,204.13800000000083
2000-10-11,13419.163,2000,0.0
2000-10-23,13419.163,2000,0.0
2000-10-27,13419.163,2000,160.3799999999992
2000-10-30,13579.543,2000,0.0
2000-10-31,13579.543,2000,476.1900000000005
2000-11-01,14055.733,2000,495.0
2000-11-06,14550.733,2000,0.0
2000-11-09,14550.733,2000,0.0
2000-11-15,14550.733,2000,160.875
2000-11-28,14711.608,2000,198.0
2000-12-07,14909.608,2000,235.125
2000-12-11,15144.733,2000,0.0
2000-12-15,15144.733,2000,22.274999999999636
2000-12-20,15167.008,2000,294.92099999999846
