date,value,year,change
2000-01-01,10000.0,2000,0.0
2000-01-26,10000.0,2000,0.0
2000-02-04,10000.0,2000,0.0
2000-02-24,10000.0,2000,0.0
2000-02-28,10000.0,2000,0.0
2000-02-29,10000.0,2000,0.0
2000-03-01,10000.0,2000,272.25
2000-03-02,10272.25,2000,396.0
2000-03-09,10668.25,2000,0.0
2000-03-21,10668.25,2000,396.0
2000-03-30,11064.25,2000,297.0
2000-04-02,11361.25,2000,333.6299999999992
2000-04-04,11694.88,2000,0.0
2000-04-17,11694.88,2000,259.875
2000-04-23,11954.755,2000,0.0
2000-04-24,11954.755,2000,247.5
2000-04-25,12202.255,2000,0.0
2000-05-01,12202.255,2000,198.0
2000-05-21,12400.255,2000,90.09000000000015
2000-05-25,12490.345,2000,0.0
2000-06-05,12490.345,2000,92.8125
2000-06-06,12583.1575,2000,198.0
2000-07-11,12781.1575,2000,0.0
2000-07-31,12781.1575,2000,0.0
2000-08-01,12781.1575,2000,0.0
2000-08-10,12781.1575,2000,0.0
2000-08-18,12781.1575,2000,0.0
2000-08-21,12781.1575,2000,0.0
2000-09-03,12781.1575,2000,160.875
2000-09-05,12942.0325,2000,0.0
2000-09-08,12942.0325,2000,0.0
2000-09-13,12942.0325,2000,99.98999999999978
2000-09-21,13042.0225,2000,792.0
2000-09-24,13834.0225,2000,0.0
2000-09-26,13834.0225,2000,0.0
2000-09-29,13834.0225,2000,278.38800000000083
2000-10-11,14112.4105,2000,0.0
2000-10-23,14112.4105,2000,0.0
2000-10-27,14112.4105,2000,259.3799999999992
2000-10-30,14371.7905,2000,0.0
2000-10-31,14371.7905,2000,476.1900000000005
2000-11-01,14847.9805,2000,693.0
2000-11-06,15540.9805,2000,0.0
2000-11-09,15540.9805,2000,0.0
2000-11-15,15540.9805,2000,160.875
2000-11-28,15701.8555,2000,297.0
2000-12-07,15998.8555,2000,272.25
2000-12-11,16271.1055,2000,0.0
2000-12-15,16271.1055,2000,0.0
2000-12-20,16271.1055,2000,393.9210000000003
