date,value,year,change
1/1/2000,10000,2000,0
1/26/2000,10000,2000,0
2/4/2000,10000,2000,0
2/24/2000,10000,2000,0
2/28/2000,10000,2000,0
2/29/2000,10000,2000,0
3/1/2000,10000,2000,24.75
3/2/2000,10024.75,2000,99
3/9/2000,10123.75,2000,0
3/21/2000,10123.75,2000,49.5
3/30/2000,10173.25,2000,74.25
4/2/2000,10247.5,2000,86.13
4/4/2000,10333.63,2000,0
4/17/2000,10333.63,2000,37.125
4/23/2000,10370.755,2000,0
4/24/2000,10370.755,2000,247.5
4/25/2000,10618.255,2000,0
5/1/2000,10618.255,2000,49.5
5/21/2000,10667.755,2000,90.09
5/25/2000,10757.845,2000,0
6/5/2000,10757.845,2000,92.8125
6/6/2000,10850.6575,2000,198
7/11/2000,11048.6575,2000,0
7/31/2000,11048.6575,2000,0
8/1/2000,11048.6575,2000,0
8/10/2000,11048.6575,2000,0
8/18/2000,11048.6575,2000,0
8/21/2000,11048.6575,2000,0
9/3/2000,11048.6575,2000,160.875
9/5/2000,11209.5325,2000,0
9/8/2000,11209.5325,2000,0
9/13/2000,11209.5325,2000,99.99
9/21/2000,11309.5225,2000,792
9/24/2000,12101.5225,2000,0
9/26/2000,12101.5225,2000,0
9/29/2000,12101.5225,2000,129.888
10/11/2000,12231.4105,2000,0
10/23/2000,12231.4105,2000,0
10/27/2000,12231.4105,2000,61.38
10/30/2000,12292.7905,2000,0
10/31/2000,12292.7905,2000,476.19
11/1/2000,12768.9805,2000,297
11/6/2000,13065.9805,2000,0
11/9/2000,13065.9805,2000,0
11/15/2000,13065.9805,2000,160.875
11/28/2000,13226.8555,2000,99
12/7/2000,13325.8555,2000,198
12/11/2000,13523.8555,2000,0
12/15/2000,13523.8555,2000,0
12/20/2000,13523.8555,2000,195.921
12/21/2000,13719.7765,2000,0
1/16/2001,13719.7765,2001,235.125
1/23/2001,13954.9015,2001,68.31
1/28/2001,14023.2115,2001,247.5
1/29/2001,14270.7115,2001,346.5
2/6/2001,14617.2115,2001,0
2/16/2001,14617.2115,2001,99
2/21/2001,14716.2115,2001,0
2/26/2001,14716.2115,2001,0
3/8/2001,14716.2115,2001,0
3/19/2001,14716.2115,2001,0
3/22/2001,14716.2115,2001,92.565
3/29/2001,14808.7765,2001,0
4/3/2001,14808.7765,2001,0
4/12/2001,14808.7765,2001,0
4/13/2001,14808.7765,2001,0
4/16/2001,14808.7765,2001,0
4/17/2001,14808.7765,2001,0
4/23/2001,14808.7765,2001,0
5/9/2001,14808.7765,2001,52.569
5/10/2001,14861.3455,2001,0
5/11/2001,14861.3455,2001,0
5/16/2001,14861.3455,2001,445.5
5/21/2001,15306.8455,2001,0
6/1/2001,15306.8455,2001,60.39
6/12/2001,15367.2355,2001,222.75
6/17/2001,15589.9855,2001,0
6/28/2001,15589.9855,2001,0
7/2/2001,15589.9855,2001,84.15
7/5/2001,15674.1355,2001,0
7/10/2001,15674.1355,2001,0
7/19/2001,15674.1355,2001,0
7/26/2001,15674.1355,2001,47.52
8/5/2001,15721.6555,2001,0
8/6/2001,15721.6555,2001,0
8/7/2001,15721.6555,2001,0
8/13/2001,15721.6555,2001,0
8/15/2001,15721.6555,2001,99
8/21/2001,15820.6555,2001,103.95
8/22/2001,15924.6055,2001,0
8/29/2001,15924.6055,2001,0
9/10/2001,15924.6055,2001,128.7
9/18/2001,16053.3055,2001,0
9/24/2001,16053.3055,2001,227.7
9/27/2001,16281.0055,2001,0
10/10/2001,16281.0055,2001,118.8
10/14/2001,16399.8055,2001,0
11/5/2001,16399.8055,2001,21.78
11/18/2001,16421.5855,2001,0
11/21/2001,16421.5855,2001,0
11/26/2001,16421.5855,2001,0
12/7/2001,16421.5855,2001,0
12/10/2001,16421.5855,2001,0
12/17/2001,16421.5855,2001,0
12/20/2001,16421.5855,2001,34.65
12/26/2001,16456.2355,2001,341.0847
12/27/2001,16797.3202,2001,9.9
1/16/2002,16807.2202,2002,138.6
1/24/2002,16945.8202,2002,0
1/28/2002,16945.8202,2002,0
1/31/2002,16945.8202,2002,0
2/7/2002,16945.8202,2002,0
3/7/2002,16945.8202,2002,0
3/21/2002,16945.8202,2002,0
3/28/2002,16945.8202,2002,0
4/10/2002,16945.8202,2002,0
4/15/2002,16945.8202,2002,0
4/23/2002,16945.8202,2002,168.3
5/2/2002,17114.1202,2002,0
5/7/2002,17114.1202,2002,65.34
5/14/2002,17179.4602,2002,0
5/17/2002,17179.4602,2002,0
5/23/2002,17179.4602,2002,405.9
6/6/2002,17585.3602,2002,0
6/13/2002,17585.3602,2002,26.73
6/20/2002,17612.0902,2002,0
6/23/2002,17612.0902,2002,99.99
6/27/2002,17712.0802,2002,49.5
7/4/2002,17761.5802,2002,0
7/16/2002,17761.5802,2002,0
8/5/2002,17761.5802,2002,96.03
8/19/2002,17857.6102,2002,0
8/21/2002,17857.6102,2002,118.8
8/27/2002,17976.4102,2002,0
9/5/2002,17976.4102,2002,0
9/6/2002,17976.4102,2002,0
9/19/2002,17976.4102,2002,0
9/23/2002,17976.4102,2002,0
10/11/2002,17976.4102,2002,0
10/18/2002,17976.4102,2002,367.29
10/24/2002,18343.7002,2002,140.58
10/27/2002,18484.2802,2002,99
10/31/2002,18583.2802,2002,0
11/1/2002,18583.2802,2002,0
11/12/2002,18583.2802,2002,97.02
11/14/2002,18680.3002,2002,0
11/20/2002,18680.3002,2002,0
11/21/2002,18680.3002,2002,82.17
11/25/2002,18762.4702,2002,0
11/27/2002,18762.4702,2002,0
12/12/2002,18762.4702,2002,69.3
12/17/2002,18831.7702,2002,475.2
12/24/2002,19306.9702,2002,198
12/29/2002,19504.9702,2002,191.07
1/5/2003,19696.0402,2003,0
1/31/2003,19696.0402,2003,0
2/4/2003,19696.0402,2003,0
2/7/2003,19696.0402,2003,0
2/18/2003,19696.0402,2003,158.4
3/9/2003,19854.4402,2003,0
3/10/2003,19854.4402,2003,0
3/18/2003,19854.4402,2003,440.55
3/20/2003,20294.9902,2003,0
3/21/2003,20294.9902,2003,391.05
3/23/2003,20686.0402,2003,0
4/14/2003,20686.0402,2003,495
4/20/2003,21181.0402,2003,0
4/23/2003,21181.0402,2003,64.35
4/27/2003,21245.3902,2003,0
4/28/2003,21245.3902,2003,0
5/9/2003,21245.3902,2003,0
5/18/2003,21245.3902,2003,0
5/20/2003,21245.3902,2003,0
5/27/2003,21245.3902,2003,0
5/28/2003,21245.3902,2003,0
6/10/2003,21245.3902,2003,77.22
6/11/2003,21322.6102,2003,68.31
6/15/2003,21390.9202,2003,0
6/16/2003,21390.9202,2003,277.2
6/30/2003,21668.1202,2003,0
7/1/2003,21668.1202,2003,0
7/6/2003,21668.1202,2003,0
7/15/2003,21668.1202,2003,0
7/20/2003,21668.1202,2003,0
7/22/2003,21668.1202,2003,198
8/4/2003,21866.1202,2003,0
8/11/2003,21866.1202,2003,0
8/18/2003,21866.1202,2003,522.72
8/25/2003,22388.8402,2003,0
9/5/2003,22388.8402,2003,0
9/15/2003,22388.8402,2003,148.5
9/21/2003,22537.3402,2003,0
9/30/2003,22537.3402,2003,0
10/3/2003,22537.3402,2003,0
10/10/2003,22537.3402,2003,70.29
10/16/2003,22607.6302,2003,24.75
10/19/2003,22632.3802,2003,0
10/30/2003,22632.3802,2003,0
11/3/2003,22632.3802,2003,0
11/10/2003,22632.3802,2003,68.31
11/13/2003,22700.6902,2003,0
11/19/2003,22700.6902,2003,0
11/26/2003,22700.6902,2003,4.95
11/27/2003,22705.6402,2003,0
12/4/2003,22705.6402,2003,188.1
12/8/2003,22893.7402,2003,274.329
12/10/2003,23168.0692,2003,84.15
12/16/2003,23252.2192,2003,14.85
12/25/2003,23267.0692,2003,0
1/12/2004,23267.0692,2004,14.85
1/20/2004,23281.9192,2004,0
1/21/2004,23281.9192,2004,0
1/26/2004,23281.9192,2004,0
1/28/2004,23281.9192,2004,0
2/6/2004,23281.9192,2004,0
2/27/2004,23281.9192,2004,0
3/4/2004,23281.9192,2004,103.95
3/7/2004,23385.8692,2004,0
3/8/2004,23385.8692,2004,0
3/16/2004,23385.8692,2004,0
3/17/2004,23385.8692,2004,5.94
3/22/2004,23391.8092,2004,0
3/31/2004,23391.8092,2004,0
4/6/2004,23391.8092,2004,49.5
4/7/2004,23441.3092,2004,0
4/8/2004,23441.3092,2004,0
4/16/2004,23441.3092,2004,18.81
4/20/2004,23460.1192,2004,33.66
5/2/2004,23493.7792,2004,74.25
5/20/2004,23568.0292,2004,0
5/27/2004,23568.0292,2004,0
6/7/2004,23568.0292,2004,0
6/15/2004,23568.0292,2004,0
6/22/2004,23568.0292,2004,0
7/15/2004,23568.0292,2004,0
7/27/2004,23568.0292,2004,319.77
8/5/2004,23887.7992,2004,0
8/11/2004,23887.7992,2004,0
8/27/2004,23887.7992,2004,381.15
8/30/2004,24268.9492,2004,0
9/3/2004,24268.9492,2004,0
9/14/2004,24268.9492,2004,0
9/15/2004,24268.9492,2004,0
9/28/2004,24268.9492,2004,0
10/4/2004,24268.9492,2004,7.92
10/7/2004,24276.8692,2004,0
10/13/2004,24276.8692,2004,0
10/21/2004,24276.8692,2004,0
10/27/2004,24276.8692,2004,0
11/1/2004,24276.8692,2004,74.25
11/4/2004,24351.1192,2004,0
11/10/2004,24351.1192,2004,0
11/12/2004,24351.1192,2004,0
11/15/2004,24351.1192,2004,0
11/16/2004,24351.1192,2004,0
11/23/2004,24351.1192,2004,2.97
11/30/2004,24354.0892,2004,0
12/9/2004,24354.0892,2004,181.17
12/16/2004,24535.2592,2004,0
12/17/2004,24535.2592,2004,271.26
12/19/2004,24806.5192,2004,0
12/21/2004,24806.5192,2004,0
12/26/2004,24806.5192,2004,0
12/27/2004,24806.5192,2004,178.2
1/2/2005,24984.7192,2005,823.68
1/24/2005,25808.3992,2005,42.57
2/1/2005,25850.9692,2005,0
2/3/2005,25850.9692,2005,0
2/11/2005,25850.9692,2005,0
3/10/2005,25850.9692,2005,0
3/17/2005,25850.9692,2005,0
3/30/2005,25850.9692,2005,0
4/5/2005,25850.9692,2005,0
4/12/2005,25850.9692,2005,0
4/18/2005,25850.9692,2005,0
4/20/2005,25850.9692,2005,0
4/22/2005,25850.9692,2005,0
5/4/2005,25850.9692,2005,0
5/9/2005,25850.9692,2005,0
5/10/2005,25850.9692,2005,0
5/16/2005,25850.9692,2005,0
5/23/2005,25850.9692,2005,1091.97
5/24/2005,26942.9392,2005,1287
5/26/2005,28229.9392,2005,0
6/14/2005,28229.9392,2005,0
6/16/2005,28229.9392,2005,178.2
6/19/2005,28408.1392,2005,0
6/23/2005,28408.1392,2005,0
6/29/2005,28408.1392,2005,0
6/30/2005,28408.1392,2005,29.7
7/21/2005,28437.8392,2005,0
7/25/2005,28437.8392,2005,0
7/26/2005,28437.8392,2005,36.63
7/27/2005,28474.4692,2005,0
8/5/2005,28474.4692,2005,0
8/10/2005,28474.4692,2005,0
8/12/2005,28474.4692,2005,0
8/17/2005,28474.4692,2005,0
8/29/2005,28474.4692,2005,0
8/30/2005,28474.4692,2005,73.26
8/31/2005,28547.7292,2005,0
9/7/2005,28547.7292,2005,0
9/13/2005,28547.7292,2005,112.86
9/14/2005,28660.5892,2005,0
9/20/2005,28660.5892,2005,0
10/4/2005,28660.5892,2005,0
10/10/2005,28660.5892,2005,0
10/14/2005,28660.5892,2005,0
10/17/2005,28660.5892,2005,0
11/3/2005,28660.5892,2005,0
11/15/2005,28660.5892,2005,0
11/20/2005,28660.5892,2005,0
11/21/2005,28660.5892,2005,0
11/23/2005,28660.5892,2005,0
12/5/2005,28660.5892,2005,0
12/8/2005,28660.5892,2005,0
12/15/2005,28660.5892,2005,0
12/19/2005,28660.5892,2005,0
12/27/2005,28660.5892,2005,0
12/30/2005,28660.5892,2005,0
1/11/2006,28660.5892,2006,89.1
1/16/2006,28749.6892,2006,227.7
1/25/2006,28977.3892,2006,0
1/26/2006,28977.3892,2006,0
2/5/2006,28977.3892,2006,306.9
2/6/2006,29284.2892,2006,0
2/9/2006,29284.2892,2006,0
2/10/2006,29284.2892,2006,0
2/13/2006,29284.2892,2006,0
3/1/2006,29284.2892,2006,346.5
3/2/2006,29630.7892,2006,0
3/9/2006,29630.7892,2006,0
3/10/2006,29630.7892,2006,0
3/16/2006,29630.7892,2006,99
3/19/2006,29729.7892,2006,0
3/24/2006,29729.7892,2006,0
3/31/2006,29729.7892,2006,0
4/4/2006,29729.7892,2006,0
4/12/2006,29729.7892,2006,208.89
4/18/2006,29938.6792,2006,174.24
4/27/2006,30112.9192,2006,0
5/3/2006,30112.9192,2006,0
5/10/2006,30112.9192,2006,0
5/17/2006,30112.9192,2006,186.12
5/21/2006,30299.0392,2006,0
5/30/2006,30299.0392,2006,0
6/1/2006,30299.0392,2006,0
6/20/2006,30299.0392,2006,10.89
7/2/2006,30309.9292,2006,0
7/5/2006,30309.9292,2006,0
7/10/2006,30309.9292,2006,0
7/12/2006,30309.9292,2006,0
7/21/2006,30309.9292,2006,0
8/3/2006,30309.9292,2006,0
8/7/2006,30309.9292,2006,175.23
8/8/2006,30485.1592,2006,0
8/11/2006,30485.1592,2006,0
8/13/2006,30485.1592,2006,0
8/14/2006,30485.1592,2006,0
8/15/2006,30485.1592,2006,0
8/16/2006,30485.1592,2006,188.1
8/23/2006,30673.2592,2006,0
8/25/2006,30673.2592,2006,0
8/27/2006,30673.2592,2006,0
8/28/2006,30673.2592,2006,0
8/29/2006,30673.2592,2006,0
8/31/2006,30673.2592,2006,0
9/8/2006,30673.2592,2006,0
9/11/2006,30673.2592,2006,33.66
9/14/2006,30706.9192,2006,71.28
9/18/2006,30778.1992,2006,0
9/19/2006,30778.1992,2006,0
9/28/2006,30778.1992,2006,12.87
10/2/2006,30791.0692,2006,0
10/5/2006,30791.0692,2006,0
10/11/2006,30791.0692,2006,38.61
10/12/2006,30829.6792,2006,0
10/18/2006,30829.6792,2006,0
10/20/2006,30829.6792,2006,0
11/6/2006,30829.6792,2006,0
11/16/2006,30829.6792,2006,0
11/20/2006,30829.6792,2006,0
11/21/2006,30829.6792,2006,0
11/22/2006,30829.6792,2006,0
12/4/2006,30829.6792,2006,60.39
12/10/2006,30890.0692,2006,0
12/11/2006,30890.0692,2006,79.2
12/12/2006,30969.2692,2006,0
12/13/2006,30969.2692,2006,0
12/18/2006,30969.2692,2006,0
12/20/2006,30969.2692,2006,122.76
12/25/2006,31092.0292,2006,0
12/26/2006,31092.0292,2006,0
1/3/2007,31092.0292,2007,0
1/10/2007,31092.0292,2007,0
1/16/2007,31092.0292,2007,0
1/17/2007,31092.0292,2007,0
1/24/2007,31092.0292,2007,0
1/26/2007,31092.0292,2007,69.3
2/7/2007,31161.3292,2007,0
2/8/2007,31161.3292,2007,0
2/14/2007,31161.3292,2007,0
3/6/2007,31161.3292,2007,0
3/7/2007,31161.3292,2007,71.28
3/15/2007,31232.6092,2007,0
3/19/2007,31232.6092,2007,0
3/21/2007,31232.6092,2007,0
3/28/2007,31232.6092,2007,0
4/9/2007,31232.6092,2007,127.71
4/11/2007,31360.3192,2007,0
4/17/2007,31360.3192,2007,124.74
4/19/2007,31485.0592,2007,0
4/23/2007,31485.0592,2007,0
4/25/2007,31485.0592,2007,364.32
4/30/2007,31849.3792,2007,0
5/9/2007,31849.3792,2007,0
