year,month,odd lot offers
2000,1,2
2000,2,3
2000,3,3
2000,4,2
2000,5,1
2000,6,1
2000,7,1
2000,8,4
2000,9,5
2000,10,3
2000,11,3
2000,12,5
2001,1,1
2001,2,3
2001,3,2
2001,4,4
2001,5,2
2001,6,2
2001,7,4
2001,8,3
2001,9,1
2001,10,1
2001,11,4
2001,12,3
2002,1,1
2002,2,1
2002,3,1
2002,4,3
2002,5,4
2002,7,1
2002,8,2
2002,9,3
2002,10,2
2002,11,6
2003,1,1
2003,2,3
2003,3,2
2003,4,4
2003,5,4
2003,6,2
2003,7,3
2003,8,2
2003,9,2
2003,10,3
2003,11,4
2003,12,3
2004,1,1
2004,2,3
2004,3,4
2004,4,2
2004,6,3
2004,7,1
2004,8,2
2004,9,4
2004,10,3
2004,11,6
2004,12,2
2005,2,2
2005,3,1
2005,4,5
2005,5,3
2005,6,3
2005,7,2
2005,8,4
2005,9,2
2005,10,2
2005,11,3
2005,12,5
2006,1,1
2006,2,3
2006,3,5
2006,4,2
2006,5,2
2006,7,4
2006,8,11
2006,9,2
2006,10,2
2006,11,5
2006,12,4
2007,1,3
2007,2,2
2007,3,6
2007,4,3
2007,5,7
2007,6,5
2007,7,4
2007,8,12
2007,11,1
2008,1,1
2008,2,4
2008,3,2
2008,5,2
2008,6,3
2008,7,2
2008,8,3
2008,10,2
2008,11,2
2008,12,1
2009,3,1
2009,5,1
2009,6,1
2009,8,2
2009,9,1
2009,11,3
2009,12,1
2010,1,2
2010,2,1
2010,3,1
2010,5,1
2010,6,2
2010,7,2
2010,8,1
2010,9,3
2010,10,2
2010,11,5
2010,12,2
2011,2,2
2011,4,2
2011,6,1
2011,8,2
2011,9,1
2011,10,1
2011,11,3
2011,12,3
2012,1,1
2012,2,4
2012,3,3
2012,5,5
2012,6,4
2012,7,1
2012,8,1
2012,10,1
2012,11,7
2012,12,1
2013,2,1
2013,3,1
2013,4,3
2013,5,1
2013,6,1
2013,7,1
2013,8,1
2013,9,2
2013,11,2
2014,1,2
2014,2,4
2014,3,1
2014,4,1
2014,5,1
2014,7,2
2014,8,1
2014,9,2
2014,10,4
2014,11,4
2014,12,1
2015,2,4
2015,3,2
2015,4,5
2015,5,2
2015,6,5
2015,7,1
2015,8,4
2015,9,1
2015,10,1
2015,11,5
2015,12,3
2016,1,1
2016,2,3
2016,3,3
2016,4,1
2016,5,3
2016,7,2
2016,8,1
2016,10,2
2016,11,2
2017,1,1
2017,2,1
2017,4,2
2017,5,2
2017,6,2
2017,8,4
2017,9,1
2017,11,3
2018,1,1
2018,2,2
2018,3,2
2018,4,4
2018,5,3
2018,7,1
2018,8,2
2018,9,1
2018,10,1
2018,11,1
