value,cash,change,date
100000.0,100000.0,0.0,2000-01-01
100000.0,1.75,0.0,2000-01-26
100000.0,3.0,0.0,2000-02-04
100000.0,12.0,0.0,2000-02-24
100000.0,12.0,0.0,2000-02-28
100000.0,12.0,0.0,2000-02-29
100000.0,8.079999999987194,0.0,2000-03-01
100000.0,8.079999999987194,0.0,2000-03-02
100000.0,8.079999999987194,0.0,2000-03-09
100000.0,25000.0,0.0,2000-03-21
100000.0,25000.0,0.0,2000-03-30
100000.0,25000.0,0.0,2000-04-02
100000.0,25000.0,0.0,2000-04-04
100000.0,10.0,0.0,2000-04-17
100000.0,10.0,0.0,2000-04-23
100000.0,2.430000000000291,0.0,2000-04-24
150000.0,125002.43,50000.0,2000-04-25
150000.0,3.242499999993015,0.0,2000-05-01
150000.0,3.242499999993015,0.0,2000-05-21
154729.27,29730.082499999993,4729.2699999999895,2000-05-25
154729.27,1.2699999999895226,0.0,2000-06-05
154729.27,1.2699999999895226,0.0,2000-06-06
184201.27,184201.26999999996,29472.0,2000-07-11
184201.27,1.3949999999604188,0.0,2000-07-31
184201.27,1.3949999999604188,0.0,2000-08-01
184201.27,1.3949999999604188,0.0,2000-08-10
184201.27,1.3949999999604188,0.0,2000-08-18
184201.27,1.3949999999604188,0.0,2000-08-21
184201.27,1.3949999999604188,0.0,2000-09-03
248920.145,248920.14499999993,64718.875,2000-09-05
248920.145,1.1049999999231659,0.0,2000-09-08
248920.145,1.1049999999231659,0.0,2000-09-13
248920.145,1.1049999999231659,0.0,2000-09-21
248920.145,1.1049999999231659,0.0,2000-09-24
248920.145,1.1049999999231659,0.0,2000-09-26
248920.145,1.1049999999231659,0.0,2000-09-29
468481.105,468481.10499999986,219560.96,2000-10-11
468481.105,65356.104999999865,0.0,2000-10-23
468481.105,448981.10499999986,0.0,2000-10-27
468481.105,448981.10499999986,0.0,2000-10-30
468481.105,175281.10499999986,0.0,2000-10-31
468481.105,175281.10499999986,0.0,2000-11-01
468481.105,2.1049999998649582,0.0,2000-11-06
