year,month,tender offer
2000,1,5
2000,2,11
2000,3,16
2000,4,20
2000,5,11
2000,6,15
2000,7,10
2000,8,13
2000,9,14
2000,10,15
2000,11,16
2000,12,17
2001,1,12
2001,2,19
2001,3,16
2001,4,39
2001,5,52
2001,6,38
2001,7,25
2001,8,29
2001,9,27
2001,10,39
2001,11,54
2001,12,29
2002,1,28
2002,2,20
2002,3,13
2002,4,23
2002,5,48
2002,6,20
2002,7,23
2002,8,28
2002,9,14
2002,10,30
2002,11,59
2002,12,26
2003,1,31
2003,2,31
2003,3,26
2003,4,29
2003,5,47
2003,6,25
2003,7,19
2003,8,30
2003,9,14
2003,10,26
2003,11,48
2003,12,19
2004,1,15
2004,2,24
2004,3,24
2004,4,18
2004,5,31
2004,6,11
2004,7,10
2004,8,23
2004,9,24
2004,10,22
2004,11,61
2004,12,18
2005,1,23
2005,2,18
2005,3,25
2005,4,25
2005,5,42
2005,6,27
2005,7,25
2005,8,32
2005,9,23
2005,10,26
2005,11,42
2005,12,25
2006,1,38
2006,2,27
2006,3,28
2006,4,41
2006,5,42
2006,6,24
2006,7,33
2006,8,39
2006,9,33
2006,10,45
2006,11,60
2006,12,26
2007,1,32
2007,2,34
2007,3,56
2007,4,30
2007,5,63
2007,6,55
2007,7,37
2007,8,54
2007,9,27
2007,10,42
2007,11,62
2007,12,34
2008,1,27
2008,2,33
2008,3,37
2008,4,39
2008,5,61
2008,6,39
2008,7,28
2008,8,55
2008,9,34
2008,10,56
2008,11,51
2008,12,46
2009,1,35
2009,2,35
2009,3,53
2009,4,52
2009,5,57
2009,6,62
2009,7,50
2009,8,59
2009,9,51
2009,10,67
2009,11,49
2009,12,37
2010,1,30
2010,2,29
2010,3,64
2010,4,30
2010,5,42
2010,6,54
2010,7,34
2010,8,30
2010,9,78
2010,10,41
2010,11,50
2010,12,57
2011,1,35
2011,2,37
2011,3,56
2011,4,26
2011,5,40
2011,6,63
2011,7,27
2011,8,36
2011,9,76
2011,10,30
2011,11,38
2011,12,63
2012,1,32
2012,2,32
2012,3,88
2012,4,39
2012,5,40
2012,6,76
2012,7,42
2012,8,46
2012,9,73
2012,10,33
2012,11,40
2012,12,65
2013,1,33
2013,2,37
2013,3,57
2013,4,54
2013,5,50
2013,6,63
2013,7,44
2013,8,43
2013,9,68
2013,10,38
2013,11,27
2013,12,63
2014,1,26
2014,2,49
2014,3,87
2014,4,21
2014,5,41
2014,6,77
2014,7,19
2014,8,46
2014,9,74
2014,10,37
2014,11,33
2014,12,72
2015,1,23
2015,2,32
2015,3,81
2015,4,32
2015,5,32
2015,6,90
2015,7,18
2015,8,39
2015,9,76
2015,10,36
2015,11,37
2015,12,82
2016,1,21
2016,2,46
2016,3,77
2016,4,20
2016,5,51
2016,6,70
2016,7,27
2016,8,51
2016,9,77
2016,10,29
2016,11,44
2016,12,76
2017,1,31
2017,2,41
2017,3,70
2017,4,25
2017,5,58
2017,6,60
2017,7,18
2017,8,68
2017,9,53
2017,10,34
2017,11,46
2017,12,57
2018,1,26
2018,2,57
2018,3,52
2018,4,33
2018,5,49
2018,6,61
2018,7,23
2018,8,63
2018,9,53
2018,10,24
2018,11,53
2018,12,48
